Table 9.  Superdistrict to Superdistrict Trip Summary by Mode - Total Trips,,,,,,,,,,,,
,,,,,,,,,,,,
"Superdistrict 
of Production","Superdistrict 
of Attraction",Vehicle Driver,"Vehicle 
Passenger","Drive 
Alone","Shared 
Ride 2","Shared 
Ride 3+","School 
Bus",Transit,Bike,Walk,Other,"Total 
Modes"
12,20,27,0,0,27,0,0,0,0,0,0,27
12,21,241,139,102,0,278,0,0,0,0,0,380
12,22,135,0,135,0,0,0,0,0,0,0,135
12,23,221,0,221,0,0,0,0,0,0,153,374
12,24,309,0,141,88,79,0,0,0,0,0,309
12,25,131,131,0,263,0,0,0,0,0,0,262
12,28,271,0,0,271,0,0,0,0,0,0,271
12,33,141,0,141,0,0,0,0,0,0,0,141
13,1,346,135,211,0,271,0,"1,224",0,0,50,"1,755"
13,2,62,267,0,62,267,0,235,0,0,0,564
13,3,"1,210",58,"1,136",58,74,0,538,0,174,0,"1,980"
13,4,91,0,91,0,0,0,0,0,0,0,91
13,5,"1,737",380,"1,504",380,232,0,0,0,0,0,"2,117"
13,6,"3,404",0,"1,167","1,868",370,0,252,0,0,202,"3,858"
13,7,"2,086",0,"1,917",53,116,0,465,0,0,0,"2,551"
13,8,"9,394","3,282","7,792","1,932","2,951",0,543,0,0,0,"13,219"
13,9,"41,859","6,969","32,710","9,045","7,072",0,"6,837",109,91,112,"55,977"
13,10,"38,932","18,629","27,016","12,376","18,170",0,583,0,"1,364",1,"59,509"
13,11,"64,401","33,305","45,074","23,053","29,579","5,120","4,718",0,"2,243","2,983","112,770"
13,12,"23,045","7,149","13,745","7,894","8,554",0,"2,777",0,243,0,"33,214"
13,13,"161,964","112,780","95,866","80,195","98,682","9,950","3,715","5,551","34,653","1,283","329,896"
